파일명: test1_onnacybog_denoised.wav
처리 시간: 2025-11-16 21:53:39
[01:12.100 → 01:15.320] 今さらにネイバーが攻めてくると知らせれば
[01:15.320 → 01:15.940] ああ
[01:16.540 → 01:19.300] 変に騒ぐやつが出てくるかもってことか
[01:19.300 → 01:22.700] 市民には今はなるべく平和でいてもらう
[01:23.640 → 01:24.660] 戦力増強
[01:24.660 → 01:26.460] 長期遠征計画
[01:26.460 → 01:29.620] 今後の予定に差し支えが出るからな
[01:29.620 → 01:30.460] なるほど

🔤 단어별 타임스탬프
------------------------------
[00:00.740-00:01.060] はい (신뢰도: 0.34)
[00:01.060-00:01.380] はい (신뢰도: 0.86)
[00:02.820-00:03.140] 頼 (신뢰도: 0.80)
[00:03.140-00:03.340] む (신뢰도: 1.00)
[00:03.340-00:03.460] よ (신뢰도: 0.98)
[00:03.460-00:03.680] エ (신뢰도: 0.81)
[00:03.680-00:03.780] ネ (신뢰도: 0.99)
[00:03.780-00:03.840] ド (신뢰도: 0.91)
[00:03.840-00:03.960] ラ (신뢰도: 1.00)
[00:05.740-00:06.060] また (신뢰도: 0.79)
[00:06.060-00:06.380] 映 (신뢰도: 1.00)
[00:06.380-00:06.520] 画 (신뢰도: 1.00)
[00:06.520-00:06.640] 見 (신뢰도: 0.95)
[00:06.640-00:06.880] せて (신뢰도: 1.00)
[00:06.880-00:07.020] や (신뢰도: 1.00)
[00:07.020-00:07.140] る (신뢰도: 1.00)
[00:07.140-00:07.380] から (신뢰도: 1.00)
[00:07.920-00:08.240] 面 (신뢰도: 0.93)
[00:08.240-00:08.500] 白 (신뢰도: 1.00)
[00:08.500-00:08.620] い (신뢰도: 1.00)
[00:08.620-00:08.680] の (신뢰도: 1.00)
[00:08.680-00:08.860] ある (신뢰도: 0.99)
[00:08.860-00:08.980] の (신뢰도: 1.00)
[00:08.980-00:09.140] か (신뢰도: 0.99)
[00:09.680-00:10.000] 今 (신뢰도: 0.62)
[00:10.000-00:10.280] 度 (신뢰도: 1.00)
[00:10.280-00:10.460] のは (신뢰도: 0.97)
[00:10.460-00:10.700] 女 (신뢰도: 0.99)
[00:10.700-00:11.120] サ (신뢰도: 0.98)
[00:11.120-00:11.120] イ (신뢰도: 1.00)
[00:11.120-00:11.240] ボ (신뢰도: 1.00)
[00:11.240-00:11.320] ー (신뢰도: 1.00)
[00:11.320-00:11.400] グ (신뢰도: 1.00)
[00:11.400-00:11.560] が (신뢰도: 1.00)
[00:11.560-00:11.660] 出 (신뢰도: 1.00)
[00:11.660-00:11.840] る (신뢰도: 1.00)
[00:11.840-00:12.000] んだ (신뢰도: 1.00)
[00:12.860-00:13.180] ち (신뢰도: 0.30)
[00:13.180-00:13.200] っ (신뢰도: 0.80)
[00:13.680-00:14.000] しゃ (신뢰도: 0.36)
[00:14.000-00:14.200] ー (신뢰도: 0.59)
[00:14.200-00:14.360] ね (신뢰도: 0.97)
[00:14.360-00:14.500] ー (신뢰도: 0.72)
[00:14.500-00:14.740] な (신뢰도: 0.96)
[00:15.680-00:16.000] 教 (신뢰도: 1.00)
[00:16.000-00:16.280] え (신뢰도: 1.00)
[00:16.280-00:16.360] た (신뢰도: 1.00)
[00:16.360-00:16.440] く (신뢰도: 1.00)
[00:16.440-00:16.520] て (신뢰도: 1.00)
[00:16.520-00:16.640] も (신뢰도: 1.00)
[00:16.640-00:16.980] 詳 (신뢰도: 1.00)
[00:16.980-00:17.180] しく (신뢰도: 1.00)
[00:17.180-00:17.300] は (신뢰도: 1.00)
[00:17.300-00:17.360] 知 (신뢰도: 1.00)
[00:17.360-00:17.560] ら (신뢰도: 1.00)
[00:17.560-00:17.660] ね (신뢰도: 0.95)
[00:17.660-00:17.760] ー (신뢰도: 0.96)
[00:17.760-00:17.900] んだ (신뢰도: 1.00)
[00:17.900-00:18.080] よ (신뢰도: 0.99)
[00:18.780-00:19.100] 外 (신뢰도: 1.00)
[00:19.100-00:19.320] 回 (신뢰도: 0.99)
[00:19.320-00:19.480] り (신뢰도: 1.00)
[00:19.480-00:19.480] は (신뢰도: 1.00)
[00:19.480-00:19.720] 雑 (신뢰도: 0.98)
[00:19.720-00:19.840] 魚 (신뢰도: 0.99)
[00:19.840-00:19.980] の (신뢰도: 1.00)
[00:19.980-00:20.140] 役 (신뢰도: 1.00)
[00:20.140-00:20.260] 目 (신뢰도: 1.00)
[00:20.260-00:20.400] だ (신뢰도: 1.00)
[00:20.840-00:21.160] 俺 (신뢰도: 1.00)
[00:21.160-00:21.360] の (신뢰도: 1.00)
[00:21.360-00:21.560] 仕 (신뢰도: 1.00)
[00:21.560-00:21.660] 事 (신뢰도: 1.00)
[00:21.660-00:21.820] じゃ (신뢰도: 0.99)
[00:21.820-00:21.980] ね (신뢰도: 0.99)
[00:21.980-00:22.040] ー (신뢰도: 0.95)
[00:23.120-00:23.440] ま、 (신뢰도: 0.50)
[00:23.440-00:23.760] ど (신뢰도: 1.00)
[00:23.760-00:23.980] っち (신뢰도: 1.00)
[00:23.980-00:24.120] も (신뢰도: 1.00)
[00:24.120-00:24.300] 取 (신뢰도: 0.86)
[00:24.300-00:24.460] る (신뢰도: 1.00)
[00:24.460-00:24.560] に (신뢰도: 1.00)
[00:24.560-00:24.680] 足 (신뢰도: 1.00)
[00:24.680-00:24.820] ら (신뢰도: 1.00)
[00:24.820-00:24.940] ね (신뢰도: 0.96)
[00:24.940-00:25.020] ー (신뢰도: 0.95)
[00:25.020-00:25.160] ち (신뢰도: 1.00)
[00:25.160-00:25.320] っぽ (신뢰도: 1.00)
[00:25.320-00:25.400] け (신뢰도: 1.00)
[00:25.400-00:25.520] な (신뢰도: 1.00)
[00:25.520-00:25.660] 国 (신뢰도: 1.00)
[00:25.660-00:25.860] だ (신뢰도: 1.00)
[00:26.440-00:26.800] 曲 (신뢰도: 0.56)
[00:26.800-00:26.940] が (신뢰도: 0.98)
[00:26.940-00:27.020] り (신뢰도: 1.00)
[00:27.020-00:27.140] な (신뢰도: 1.00)
[00:27.140-00:27.240] り (신뢰도: 1.00)
[00:27.240-00:27.400] に (신뢰도: 1.00)
[00:27.400-00:27.540] もう (신뢰도: 0.95)
[00:27.540-00:27.760] ち (신뢰도: 1.00)
[00:27.760-00:27.820] の (신뢰도: 1.00)
[00:27.820-00:28.060] 攻 (신뢰도: 1.00)
[00:28.060-00:28.340] 撃 (신뢰도: 1.00)
[00:28.340-00:28.520] を (신뢰도: 1.00)
[00:28.520-00:28.580] し (신뢰도: 0.97)
[00:28.580-00:28.740] の (신뢰도: 0.80)
[00:28.740-00:28.820] い (신뢰도: 1.00)
[00:28.820-00:28.920] だ (신뢰도: 1.00)
[00:28.920-00:29.140] ミ (신뢰도: 0.92)
[00:29.140-00:29.260] ネ (신뢰도: 0.74)
[00:29.260-00:29.400] ン (신뢰도: 0.98)
[00:29.400-00:29.560] 様 (신뢰도: 1.00)
[00:29.560-00:29.760] が (신뢰도: 1.00)
[00:29.760-00:29.920] して (신뢰도: 0.99)
[00:29.920-00:30.060] や (신뢰도: 1.00)
[00:30.060-00:30.200] ら (신뢰도: 1.00)
[00:30.200-00:30.360] れる (신뢰도: 0.81)
[00:30.360-00:30.540] なん (신뢰도: 1.00)
[00:30.540-00:30.680] て (신뢰도: 1.00)
[00:30.680-00:30.860] こと (신뢰도: 1.00)
[00:30.860-00:31.000] は (신뢰도: 1.00)
[00:31.000-00:31.200] ね (신뢰도: 0.92)
[00:31.200-00:31.280] ー (신뢰도: 0.01)
[00:31.280-00:31.420] だ (신뢰도: 1.00)
[00:31.420-00:31.720] ろう (신뢰도: 0.94)
[00:31.720-00:32.020] よ (신뢰도: 1.00)
[00:32.440-00:32.800] 一 (신뢰도: 0.97)
[00:32.800-00:33.160] 応 (신뢰도: 1.00)
[00:33.160-00:33.580] エ (신뢰도: 0.97)
[00:33.580-00:33.620] ネ (신뢰도: 1.00)
[00:33.620-00:33.720] ド (신뢰도: 1.00)
[00:33.720-00:33.820] ラ (신뢰도: 1.00)
[00:33.820-00:33.960] ット (신뢰도: 0.84)
[00:33.960-00:34.120] は (신뢰도: 1.00)
[00:34.120-00:34.380] 嘘 (신뢰도: 1.00)
[00:34.380-00:34.480] つ (신뢰도: 1.00)
[00:34.480-00:34.640] いて (신뢰도: 1.00)
[00:34.640-00:34.820] ない (신뢰도: 1.00)
[00:34.820-00:35.060] よ (신뢰도: 1.00)
[00:35.560-00:35.920] 誰 (신뢰도: 0.73)
[00:35.920-00:36.120] が (신뢰도: 1.00)
[00:36.120-00:36.300] エ (신뢰도: 1.00)
[00:36.300-00:36.340] ネ (신뢰도: 1.00)
[00:36.340-00:36.460] ド (신뢰도: 1.00)
[00:36.460-00:36.600] ラ (신뢰도: 1.00)
[00:36.600-00:36.720] ット (신뢰도: 1.00)
[00:36.720-00:36.940] だ (신뢰도: 0.98)
[00:36.940-00:37.160] チ (신뢰도: 0.79)
[00:37.160-00:37.380] ビ (신뢰도: 0.99)
[00:37.860-00:38.220] まだ (신뢰도: 0.96)
[00:38.220-00:38.480] ど (신뢰도: 1.00)
[00:38.480-00:38.560] っ (신뢰도: 1.00)
[00:38.560-00:38.660] か (신뢰도: 1.00)
[00:38.660-00:38.780] 攻 (신뢰도: 1.00)
[00:38.780-00:38.960] めて (신뢰도: 1.00)
[00:38.960-00:39.080] く (신뢰도: 1.00)
[00:39.080-00:39.160] ん (신뢰도: 0.43)
[00:39.160-00:39.280] の (신뢰도: 1.00)
[00:40.040-00:40.400] こ (신뢰도: 0.40)
[00:40.400-00:40.740] いつ (신뢰도: 1.00)
[00:40.740-00:40.880] の (신뢰도: 1.00)
[00:40.880-00:41.080] 予 (신뢰도: 1.00)
[00:41.080-00:41.240] 測 (신뢰도: 1.00)
[00:41.240-00:41.420] が (신뢰도: 1.00)
[00:41.420-00:41.560] 当 (신뢰도: 1.00)
[00:41.560-00:41.700] た (신뢰도: 1.00)
[00:41.700-00:41.780] っと (신뢰도: 0.91)
[00:41.780-00:41.880] る (신뢰도: 1.00)
[00:41.880-00:42.080] なら (신뢰도: 1.00)
[00:42.080-00:42.740] 数 (신뢰도: 1.00)
[00:42.740-00:43.100] 日 (신뢰도: 1.00)
[00:43.100-00:43.400] 中 (신뢰도: 1.00)
[00:43.400-00:43.580] に (신뢰도: 1.00)
[00:43.580-00:43.700] も (신뢰도: 1.00)
[00:43.700-00:43.900] な (신뢰도: 1.00)
[00:44.440-00:44.800] そんな (신뢰도: 1.00)
[00:44.800-00:45.080] 急 (신뢰도: 1.00)
[00:45.080-00:45.300] に (신뢰도: 1.00)
[00:45.960-00:46.320] 俺 (신뢰도: 0.68)
[00:46.320-00:46.500] た (신뢰도: 1.00)
[00:46.500-00:46.680] ち (신뢰도: 1.00)
[00:46.680-00:47.240] まだ (신뢰도: 1.00)
[00:47.240-00:47.400] 知 (신뢰도: 1.00)
[00:47.400-00:47.580] ら (신뢰도: 1.00)
[00:47.580-00:47.640] さ (신뢰도: 1.00)
[00:47.640-00:47.800] れて (신뢰도: 1.00)
[00:47.800-00:48.000] ない (신뢰도: 1.00)
[00:48.000-00:48.200] けど (신뢰도: 1.00)
[00:48.200-00:48.900] ちょ (신뢰도: 1.00)
[00:48.900-00:48.940] う (신뢰도: 1.00)
[00:48.940-00:49.020] ど (신뢰도: 1.00)
[00:49.020-00:49.220] 今 (신뢰도: 1.00)
[00:49.220-00:49.520] 上 (신뢰도: 0.99)
[00:49.520-00:49.760] で (신뢰도: 1.00)
[00:49.760-00:49.900] 対 (신뢰도: 1.00)
[00:49.900-00:50.180] 策 (신뢰도: 1.00)
[00:50.180-00:50.320] 会 (신뢰도: 1.00)
[00:50.320-00:50.500] 議 (신뢰도: 1.00)
[00:50.500-00:50.600] を (신뢰도: 1.00)
[00:50.600-00:50.720] や (신뢰도: 0.70)
[00:50.720-00:50.900] っと (신뢰도: 1.00)
[00:50.900-00:51.000] る (신뢰도: 1.00)
[00:51.700-00:52.060] その (신뢰도: 1.00)
[00:52.060-00:52.340] 会 (신뢰도: 1.00)
[00:52.340-00:52.520] 議 (신뢰도: 1.00)
[00:52.520-00:52.660] の (신뢰도: 1.00)
[00:52.660-00:52.880] 結果 (신뢰도: 1.00)
[00:52.880-00:53.120] 次 (신뢰도: 1.00)
[00:53.120-00:53.300] 第 (신뢰도: 1.00)
[00:53.300-00:53.500] で (신뢰도: 1.00)
[00:53.500-00:54.020] お (신뢰도: 0.94)
[00:54.020-00:54.160] そ (신뢰도: 1.00)
[00:54.160-00:54.260] ら (신뢰도: 1.00)
[00:54.260-00:54.380] く (신뢰도: 1.00)
[00:54.380-00:54.700] 今回 (신뢰도: 1.00)
[00:54.700-00:55.080] は (신뢰도: 1.00)
[00:55.080-00:55.680] でき (신뢰도: 0.97)
[00:55.680-00:55.840] る (신뢰도: 0.98)
[00:55.840-00:55.840] よう (신뢰도: 0.39)
[00:55.840-00:55.840] にな (신뢰도: 0.95)
[00:55.840-00:55.840] る (신뢰도: 0.87)
[00:55.860-00:55.860] でき (신뢰도: 0.00)
[00:55.860-00:55.860] る (신뢰도: 0.94)
[00:55.860-00:56.040] 限 (신뢰도: 0.84)
[00:56.040-00:56.300] り (신뢰도: 0.99)
[00:56.300-00:56.520] 秘 (신뢰도: 0.93)
[00:56.520-00:56.660] 密 (신뢰도: 1.00)
[00:56.660-00:56.840] 裏 (신뢰도: 0.99)
[00:56.840-00:57.020] に (신뢰도: 0.99)
[00:57.020-00:57.160] 防 (신뢰도: 0.96)
[00:57.160-00:57.420] 衛 (신뢰도: 1.00)
[00:57.420-00:57.560] に (신뢰도: 0.99)
[00:57.560-00:57.720] 当 (신뢰도: 0.71)
[00:57.720-00:57.880] た (신뢰도: 1.00)
[00:57.880-00:57.920] る (신뢰도: 1.00)
[00:57.920-00:58.080] こと (신뢰도: 0.96)
[00:58.080-00:58.340] にな (신뢰도: 0.99)
[00:58.340-00:58.540] る (신뢰도: 1.00)
[00:58.920-00:59.280] お (신뢰도: 0.75)
[00:59.280-00:59.420] 前 (신뢰도: 0.99)
[00:59.420-00:59.560] た (신뢰도: 0.97)
[00:59.560-00:59.700] ち (신뢰도: 1.00)
[00:59.700-00:59.740] も (신뢰도: 0.95)
[00:59.740-01:00.600] ここ (신뢰도: 0.89)
[01:00.600-01:00.800] で (신뢰도: 1.00)
[01:00.800-01:00.920] の (신뢰도: 1.00)
[01:00.920-01:01.080] 話 (신뢰도: 1.00)
[01:01.080-01:01.300] を (신뢰도: 1.00)
[01:01.300-01:01.460] よ (신뢰도: 0.99)
[01:01.460-01:01.540] そ (신뢰도: 1.00)
[01:01.540-01:01.680] に (신뢰도: 1.00)
[01:01.680-01:01.920] 漏 (신뢰도: 0.96)
[01:01.920-01:02.020] ら (신뢰도: 1.00)
[01:02.020-01:02.120] す (신뢰도: 1.00)
[01:02.120-01:02.260] な (신뢰도: 0.99)
[01:02.260-01:02.400] よ (신뢰도: 1.00)
[01:02.920-01:03.280] 秘 (신뢰도: 1.00)
[01:03.280-01:03.440] 密 (신뢰도: 1.00)
[01:03.440-01:03.620] 裏 (신뢰도: 1.00)
[01:03.620-01:03.800] に (신뢰도: 0.96)
[01:04.360-01:04.720] なん (신뢰도: 0.21)
[01:04.720-01:05.080] で (신뢰도: 1.00)
[01:05.080-01:05.220] また (신뢰도: 0.98)
[01:05.220-01:05.540] そんな (신뢰도: 0.99)
[01:06.300-01:06.660] 今 (신뢰도: 0.99)
[01:06.660-01:06.880] は (신뢰도: 1.00)
[01:06.880-01:07.140] 時 (신뢰도: 1.00)
[01:07.140-01:07.280] 期 (신뢰도: 1.00)
[01:07.280-01:07.460] が (신뢰도: 1.00)
[01:07.460-01:07.660] 悪 (신뢰도: 1.00)
[01:07.660-01:07.840] い (신뢰도: 1.00)
[01:08.480-01:08.840] 街 (신뢰도: 0.81)
[01:08.840-01:09.120] には (신뢰도: 1.00)
[01:09.120-01:09.340] 大 (신뢰도: 1.00)
[01:09.340-01:09.460] 規 (신뢰도: 1.00)
[01:09.460-01:09.600] 模 (신뢰도: 1.00)
[01:09.600-01:09.760] 侵 (신뢰도: 0.88)
[01:09.760-01:09.960] 攻 (신뢰도: 1.00)
[01:09.960-01:10.180] の (신뢰도: 1.00)
[01:10.180-01:10.380] 爪 (신뢰도: 1.00)
[01:10.380-01:10.560] 痕 (신뢰도: 0.98)
[01:10.560-01:10.760] が (신뢰도: 1.00)
[01:10.760-01:10.920] まだ (신뢰도: 1.00)
[01:10.920-01:11.280] 残 (신뢰도: 1.00)
[01:11.280-01:11.400] っと (신뢰도: 0.68)
[01:11.400-01:11.500] る (신뢰도: 1.00)
[01:12.100-01:12.460] 今 (신뢰도: 1.00)
[01:12.460-01:12.680] さ (신뢰도: 0.99)
[01:12.680-01:12.880] ら (신뢰도: 1.00)
[01:12.880-01:13.000] に (신뢰도: 1.00)
[01:13.000-01:13.260] ネ (신뢰도: 1.00)
[01:13.260-01:13.340] イ (신뢰도: 0.84)
[01:13.340-01:13.460] バ (신뢰도: 1.00)
[01:13.460-01:13.580] ー (신뢰도: 1.00)
[01:13.580-01:13.660] が (신뢰도: 1.00)
[01:13.660-01:13.860] 攻 (신뢰도: 1.00)
[01:13.860-01:14.080] めて (신뢰도: 1.00)
[01:14.080-01:14.200] く (신뢰도: 1.00)
[01:14.200-01:14.340] る (신뢰도: 1.00)
[01:14.340-01:14.440] と (신뢰도: 1.00)
[01:14.440-01:14.560] 知 (신뢰도: 1.00)
[01:14.560-01:14.760] ら (신뢰도: 1.00)
[01:14.760-01:14.900] せ (신뢰도: 1.00)
[01:14.900-01:15.040] れ (신뢰도: 1.00)
[01:15.040-01:15.320] ば (신뢰도: 1.00)
[01:15.320-01:15.940] ああ (신뢰도: 0.78)
[01:16.540-01:16.900] 変 (신뢰도: 0.86)
[01:16.900-01:17.140] に (신뢰도: 1.00)
[01:17.140-01:17.420] 騒 (신뢰도: 1.00)
[01:17.420-01:17.580] ぐ (신뢰도: 1.00)
[01:17.580-01:17.700] や (신뢰도: 0.29)
[01:17.700-01:17.760] つ (신뢰도: 1.00)
[01:17.760-01:17.900] が (신뢰도: 1.00)
[01:17.900-01:18.040] 出 (신뢰도: 1.00)
[01:18.040-01:18.160] て (신뢰도: 1.00)
[01:18.160-01:18.260] く (신뢰도: 1.00)
[01:18.260-01:18.360] る (신뢰도: 1.00)
[01:18.360-01:18.500] か (신뢰도: 1.00)
[01:18.500-01:18.620] も (신뢰도: 1.00)
[01:18.620-01:18.820] って (신뢰도: 1.00)
[01:18.820-01:19.060] こと (신뢰도: 1.00)
[01:19.060-01:19.300] か (신뢰도: 1.00)
[01:19.300-01:19.860] 市 (신뢰도: 1.00)
[01:19.860-01:20.140] 民 (신뢰도: 1.00)
[01:20.140-01:20.460] には (신뢰도: 1.00)
[01:20.460-01:20.900] 今 (신뢰도: 1.00)
[01:20.900-01:21.080] は (신뢰도: 1.00)
[01:21.080-01:21.320] なる (신뢰도: 1.00)
[01:21.320-01:21.440] べ (신뢰도: 1.00)
[01:21.440-01:21.540] く (신뢰도: 1.00)
[01:21.540-01:21.760] 平 (신뢰도: 1.00)
[01:21.760-01:22.020] 和 (신뢰도: 1.00)
[01:22.020-01:22.100] で (신뢰도: 1.00)
[01:22.100-01:22.300] いて (신뢰도: 1.00)
[01:22.300-01:22.460] も (신뢰도: 1.00)
[01:22.460-01:22.560] ら (신뢰도: 1.00)
[01:22.560-01:22.700] う (신뢰도: 1.00)
[01:23.640-01:24.000] 戦 (신뢰도: 0.97)
[01:24.000-01:24.160] 力 (신뢰도: 0.99)
[01:24.160-01:24.460] 増 (신뢰도: 1.00)
[01:24.460-01:24.660] 強 (신뢰도: 1.00)
[01:24.660-01:25.220] 長 (신뢰도: 0.16)
[01:25.220-01:25.480] 期 (신뢰도: 0.98)
[01:25.480-01:25.700] 遠 (신뢰도: 0.95)
[01:25.700-01:25.960] 征 (신뢰도: 1.00)
[01:25.960-01:26.140] 計 (신뢰도: 0.98)
[01:26.140-01:26.460] 画 (신뢰도: 1.00)
[01:26.460-01:27.280] 今 (신뢰도: 0.57)
[01:27.280-01:27.560] 後 (신뢰도: 1.00)
[01:27.560-01:27.680] の (신뢰도: 1.00)
[01:27.680-01:27.880] 予 (신뢰도: 1.00)
[01:27.880-01:28.000] 定 (신뢰도: 1.00)
[01:28.000-01:28.080] に (신뢰도: 1.00)
[01:28.080-01:28.340] 差 (신뢰도: 0.99)
[01:28.340-01:28.580] し (신뢰도: 1.00)
[01:28.580-01:28.620] 支 (신뢰도: 1.00)
[01:28.620-01:28.840] え (신뢰도: 1.00)
[01:28.840-01:28.940] が (신뢰도: 0.99)
[01:28.940-01:29.100] 出 (신뢰도: 0.96)
[01:29.100-01:29.240] る (신뢰도: 1.00)
[01:29.240-01:29.380] から (신뢰도: 0.97)
[01:29.380-01:29.620] な (신뢰도: 0.97)
[01:29.620-01:30.460] なるほど (신뢰도: 0.31)
