파일명: 0a823ca5-8b33-4e7d-99dd-a098a4c5b799 (1)_denoised.wav
[00:36.000-00:36.200] か (신뢰도: 1.00)
[00:36.200-00:36.500] 賭 (신뢰도: 1.00)
[00:36.500-00:36.680] けて (신뢰도: 1.00)
[00:36.680-00:36.860] た (신뢰도: 1.00)
[00:36.860-00:37.100] んだ (신뢰도: 1.00)
[00:37.660-00:38.020] 賭 (신뢰도: 1.00)
[00:38.020-00:38.120] け (신뢰도: 1.00)
[00:38.120-00:38.220] に (신뢰도: 1.00)
[00:38.220-00:38.480] 負 (신뢰도: 1.00)
[00:38.480-00:38.620] け (신뢰도: 1.00)
[00:38.620-00:38.660] た (신뢰도: 1.00)
[00:38.660-00:38.880] 方 (신뢰도: 0.98)
[00:38.880-00:39.140] が (신뢰도: 1.00)
[00:39.140-00:39.540] 一個 (신뢰도: 0.98)
[00:39.540-00:40.000] 頼 (신뢰도: 1.00)
[00:40.000-00:40.220] み (신뢰도: 1.00)
[00:40.220-00:40.280] を (신뢰도: 1.00)
[00:40.280-00:40.440] 聞 (신뢰도: 0.96)
[00:40.440-00:40.780] く (신뢰도: 1.00)
[00:41.200-00:41.380] ジ (신뢰도: 0.38)
[00:41.380-00:41.540] ン (신뢰도: 0.99)
[00:41.540-00:41.620] は (신뢰도: 1.00)
[00:41.620-00:41.720] オ (신뢰도: 1.00)
[00:41.720-00:41.840] サ (신뢰도: 1.00)
[00:41.840-00:41.940] ム (신뢰도: 1.00)
[00:41.940-00:42.080] た (신뢰도: 1.00)
[00:42.080-00:42.300] ち (신뢰도: 1.00)
[00:42.300-00:42.340] が (신뢰도: 1.00)
[00:42.340-00:42.560] 勝 (신뢰도: 1.00)
[00:42.560-00:42.760] つ (신뢰도: 1.00)
[00:42.760-00:42.860] 方 (신뢰도: 1.00)
[00:42.860-00:43.040] に (신뢰도: 1.00)
[00:43.040-00:43.240] 賭 (신뢰도: 1.00)
[00:43.240-00:43.420] けて (신뢰도: 1.00)
[00:43.420-00:44.020] 俺 (신뢰도: 0.97)
[00:44.020-00:44.280] も (신뢰도: 1.00)
[00:44.280-00:44.440] お (신뢰도: 1.00)
[00:44.440-00:44.600] や (신뢰도: 1.00)
[00:44.600-00:44.860] つ (신뢰도: 1.00)
[00:44.860-00:44.940] を (신뢰도: 1.00)
[00:44.940-00:45.280] 賭 (신뢰도: 0.87)
[00:45.280-00:45.400] け (신뢰도: 1.00)
[00:45.400-00:45.480] た (신뢰도: 1.00)
[00:45.480-00:46.020] お (신뢰도: 1.00)
[00:46.020-00:46.240] や (신뢰도: 1.00)
[00:46.240-00:46.480] つ (신뢰도: 1.00)
[00:46.480-00:46.520] を? (신뢰도: 0.99)
[00:46.780-00:47.140] いや (신뢰도: 0.98)
